source,title,link,published,index,cluster,predicted_label,confidence
Vedomosti,Лавров усомнился в версии Польши об обнаружении российских беспилотников,https://www.vedomosti.ru/politics/news/2025/09/27/1142512-lavrov-usomnilsya,"Sat, 27 Sep 2025 21:25:41 +0300",0,0,политика,0.35639536
Vedomosti,Лавров назвал слепотой расчет на возвращение Украины к границам 2022 года,https://www.vedomosti.ru/politics/news/2025/09/27/1142511-lavrov-nazval-slepotoi,"Sat, 27 Sep 2025 21:16:18 +0300",1,1,политика,0.34450373
Vedomosti,Лавров: в ЕС и НАТО всерьез рассуждают о сценарии третьей мировой войны,https://www.vedomosti.ru/politics/news/2025/09/27/1142510-es-nato-rassuzhdayut,"Sat, 27 Sep 2025 20:47:08 +0300",2,1,спорт,0.34969956
Vedomosti,Лавров: у России нет планов нападать на страны НАТО,https://www.vedomosti.ru/politics/news/2025/09/27/1142509-net-planov-napadat,"Sat, 27 Sep 2025 20:32:22 +0300",3,0,политика,0.35663185
Vedomosti,Армия Израиля контролирует половину города Газа,https://www.vedomosti.ru/politics/news/2025/09/27/1142506-armiya-izrailya-kontroliruet,"Sat, 27 Sep 2025 19:56:32 +0300",4,1,политика,0.33865657
Vedomosti,Пезешкиан: Иран и «евротройка» были близки к соглашению по ядерному досье,https://www.vedomosti.ru/politics/news/2025/09/27/1142504-iran-evrotroika-bili-blizki,"Sat, 27 Sep 2025 19:35:03 +0300",5,2,политика,0.34661755
Vedomosti,Лавров и глава МИД Никарагуа обсудили наращивание двусторонних отношений,https://www.vedomosti.ru/politics/news/2025/09/27/1142503-naraschivanie-dvustoronnih-otnoshenii,"Sat, 27 Sep 2025 19:04:41 +0300",6,0,политика,0.3499133
Vedomosti,Умер актер из «Ментовских войн» Александр Иовлев,https://www.vedomosti.ru/society/news/2025/09/27/1142502-umer-akter-iovlev,"Sat, 27 Sep 2025 18:46:59 +0300",7,0,политика,0.3495752
Vedomosti,Зеленский: Украина уже месяц использует израильскую систему Patriot,https://www.vedomosti.ru/politics/news/2025/09/27/1142501-ukraina-ispolzuet,"Sat, 27 Sep 2025 18:14:15 +0300",8,2,политика,0.35052735
Vedomosti,Аэропорт в Берлине не смог полностью восстановить работу после кибератаки,https://www.vedomosti.ru/business/news/2025/09/27/1142500-aeroport-v-berline,"Sat, 27 Sep 2025 18:04:06 +0300",9,2,политика,0.34941274
Vedomosti,Роспотребнадзор обратился к Турции из-за данных об отравлении россиян в Кемере,https://www.vedomosti.ru/society/news/2025/09/27/1142498-rospotrebnadzor-obratilsya,"Sat, 27 Sep 2025 17:51:57 +0300",10,0,политика,0.34957114
Vedomosti,Эрдоган обвинил «баронов войны» в эскалации на Украине,https://www.vedomosti.ru/politics/news/2025/09/27/1142497-erdogan-obvinil,"Sat, 27 Sep 2025 17:37:51 +0300",11,0,политика,0.3489006
Vedomosti,Xzibit в декабре выступит в Москве и Санкт-Петербурге,https://www.vedomosti.ru/society/news/2025/09/27/1142496-xzibit-vistupit,"Sat, 27 Sep 2025 17:20:32 +0300",12,4,спорт,0.34590656
Vedomosti,Зеленский пригрозил Москве ответными блэкаутами,https://www.vedomosti.ru/politics/news/2025/09/27/1142495-zelenskii-prigrozil,"Sat, 27 Sep 2025 17:01:38 +0300",13,2,политика,0.34836152
Vedomosti,Пезешкиан: США требовали передать обогащенный уран в обмен на отсрочку санкций,https://www.vedomosti.ru/politics/news/2025/09/27/1142494-ssha-trebovali-peredat,"Sat, 27 Sep 2025 16:49:50 +0300",14,0,политика,0.3514237
Vedomosti,Иран предоставил России территорию для строительства участка коридора Север – Юг,https://www.vedomosti.ru/business/news/2025/09/27/1142490-iran-predostavil,"Sat, 27 Sep 2025 16:18:59 +0300",15,0,политика,0.352288
Vedomosti,Yle: ЕС не включил никель в пакеты санкций из-за потребности в сырье для обороны,https://www.vedomosti.ru/politics/news/2025/09/27/1142488-es-ne-vklyuchil-nikel,"Sat, 27 Sep 2025 15:52:26 +0300",16,4,политика,0.34370258
Vedomosti,Суд арестовал двух фигурантов дела об отравлении метанолом в Ленобласти,https://www.vedomosti.ru/society/news/2025/09/27/1142486-sud-arestoval,"Sat, 27 Sep 2025 15:34:14 +0300",17,0,политика,0.3511732
Vedomosti,Shaman назвал партию «Мы» не шуткой,https://www.vedomosti.ru/politics/news/2025/09/27/1142487-shaman-nazval,"Sat, 27 Sep 2025 15:30:48 +0300",18,0,политика,0.34382275
Vedomosti,У экс-мэра Владивостока и других должников изъяли 700 объектов недвижимости,https://www.vedomosti.ru/society/news/2025/09/27/1142485-eks-mera-vladivostoka-izyali,"Sat, 27 Sep 2025 15:11:31 +0300",19,0,политика,0.34730425
Kommersant,В результате ракетного удара по Белгороду пострадали три человека,https://www.kommersant.ru/doc/8077350,"Sat, 27 Sep 2025 21:32:51 +0300",20,4,политика,0.34755576
Kommersant,Лавров прокомментировал сравнение России с «бумажным тигром»,https://www.kommersant.ru/doc/8077344,"Sat, 27 Sep 2025 21:19:32 +0300",21,0,политика,0.35090035
Kommersant,Лавров: Россия верит в желание США завершить конфликт на Украине,https://www.kommersant.ru/doc/8077348,"Sat, 27 Sep 2025 21:07:26 +0300",22,1,политика,0.3496618
Kommersant,Spiegel: в ФРГ возникли трудности с оснащением армии цифровой радиосвязью,https://www.kommersant.ru/doc/8077339,"Sat, 27 Sep 2025 20:58:27 +0300",23,3,политика,0.35366398
Kommersant,Россия и США проведут осенью третий раунд переговоров,https://www.kommersant.ru/doc/8077346,"Sat, 27 Sep 2025 20:44:02 +0300",24,0,политика,0.35038602
Kommersant,Глава Бурятии допустил возобновление промышленного вылова омуля,https://www.kommersant.ru/doc/8077333,"Sat, 27 Sep 2025 20:42:35 +0300",25,0,политика,0.34458202
Kommersant,Лавров: Россия не видит изменений в подходе США к переговорам,https://www.kommersant.ru/doc/8077343,"Sat, 27 Sep 2025 20:36:01 +0300",26,1,политика,0.34803438
Kommersant,Белгород подвергся ракетному обстрелу,https://www.kommersant.ru/doc/8077342,"Sat, 27 Sep 2025 20:28:01 +0300",27,4,политика,0.34632787
Kommersant,Лавров назвал условия переговоров о гарантиях безопасности для Украины,https://www.kommersant.ru/doc/8077337,"Sat, 27 Sep 2025 20:21:24 +0300",28,1,политика,0.3435169
Kommersant,Кириенко: в бюджете на поддержку родительских комитетов заложен 1 млрд рублей,https://www.kommersant.ru/doc/8077325,"Sat, 27 Sep 2025 20:14:19 +0300",29,4,политика,0.35100898
Kommersant,Лавров: Россия не наносит прицельных ударов по странам Европы,https://www.kommersant.ru/doc/8077334,"Sat, 27 Sep 2025 20:05:15 +0300",30,1,политика,0.3479151
Kommersant,Лавров: Россия не агитирует за революцию против кого бы то ни было,https://www.kommersant.ru/doc/8077327,"Sat, 27 Sep 2025 19:52:54 +0300",31,1,политика,0.34643304
Kommersant,Лавров: Россия не планирует нападать на страны НАТО,https://www.kommersant.ru/doc/8077329,"Sat, 27 Sep 2025 19:48:46 +0300",32,1,политика,0.35071725
Kommersant,Лавров призвал не допустить «дворцового переворота» в секретариате ООН,https://www.kommersant.ru/doc/8077326,"Sat, 27 Sep 2025 19:43:48 +0300",33,1,спорт,0.34926343
Kommersant,Лавров: Россия предлагает США избежать гонки вооружений,https://www.kommersant.ru/doc/8077324,"Sat, 27 Sep 2025 19:37:19 +0300",34,1,политика,0.34514597
Kommersant,Лавров назвал «саботажем» отказ Совбеза ООН продлить иранскую сделку,https://www.kommersant.ru/doc/8077323,"Sat, 27 Sep 2025 19:32:21 +0300",35,4,спорт,0.34598166
Kommersant,Лавров осудил удары по Ирану и Катару,https://www.kommersant.ru/doc/8077322,"Sat, 27 Sep 2025 19:26:41 +0300",36,0,политика,0.34669703
Kommersant,Лавров: действия Израиля грозят взорвать весь Ближний Восток,https://www.kommersant.ru/doc/8077321,"Sat, 27 Sep 2025 19:26:10 +0300",37,1,политика,0.3449208
Kommersant,Лавров: Россия по-прежнему открыта к переговорам по Украине,https://www.kommersant.ru/doc/8077320,"Sat, 27 Sep 2025 19:24:45 +0300",38,1,спорт,0.3467805
Kommersant,Трамп поручил направить войска для защиты Портленда от движения «Антифа»,https://www.kommersant.ru/doc/8077317,"Sat, 27 Sep 2025 18:30:23 +0300",39,3,политика,0.34652612
Interfax,"Четыре гола Глушенкова помогли ""Зениту"" разгромить ""Оренбург""",https://www.sport-interfax.ru/1049671,"Sat, 27 Sep 2025 21:37:00 +0300",40,4,спорт,0.34320247
Interfax,"Три человека, включая подростка, пострадали в результате обстрела Белгорода",https://www.interfax.ru/russia/1049670,"Sat, 27 Sep 2025 21:15:00 +0300",41,4,политика,0.3492722
Interfax,"""Краснодар"" сыграл вничью с ""Ростовом"" в матче РПЛ",https://www.sport-interfax.ru/1049669,"Sat, 27 Sep 2025 21:01:00 +0300",42,2,политика,0.3506311
Interfax,Лавров сообщил о договоренности с Рубио о третьем раунде консультаций осенью,https://www.interfax.ru/russia/1049668,"Sat, 27 Sep 2025 20:56:00 +0300",43,0,политика,0.35272762
Interfax,Лавров заявил о стремлении Запада экономически удушить Тегеран,https://www.interfax.ru/russia/1049667,"Sat, 27 Sep 2025 20:53:00 +0300",44,2,политика,0.35250792
Interfax,"Что произошло за день: суббота, 27 сентября",https://www.interfax.ru/russia/1049665,"Sat, 27 Sep 2025 20:30:00 +0300",45,4,спорт,0.34401253
Interfax,В России не видят отхода США от курса на ведение честного диалога,https://www.interfax.ru/russia/1049666,"Sat, 27 Sep 2025 20:23:00 +0300",46,2,политика,0.3489306
Interfax,"""Ливерпуль"" впервые проиграл в сезоне в АПЛ",https://www.sport-interfax.ru/1049663,"Sat, 27 Sep 2025 19:41:00 +0300",47,1,политика,0.34698346
Interfax,"""Атлетико"" разгромил ""Реал"" в чемпионате Испании по футболу",https://www.sport-interfax.ru/1049662,"Sat, 27 Sep 2025 19:33:00 +0300",48,2,политика,0.35031494
Interfax,Глава МИД РФ назвал реализацию предложения по ДСНВ возможностью избежать гонки вооружений,https://www.interfax.ru/russia/1049661,"Sat, 27 Sep 2025 19:27:00 +0300",49,3,политика,0.34440017
Interfax,"Лавров заявил, что у Киева и европейцев не видно готовности договариваться о мире по-честному",https://www.interfax.ru/russia/1049660,"Sat, 27 Sep 2025 19:24:00 +0300",50,1,спорт,0.34684774
Interfax,Минобороны РФ сообщило о поражении семи беспилотников ВСУ над тремя регионами,https://www.interfax.ru/russia/1049659,"Sat, 27 Sep 2025 18:58:00 +0300",51,3,политика,0.35241726
Interfax,На Цветном бульваре в Москве восстановили движение после детского велофестиваля,https://www.interfax.ru/moscow/1049658,"Sat, 27 Sep 2025 18:53:00 +0300",52,3,политика,0.35191453
Interfax,"Кириенко заявил о мировом лидерстве ""Росатома"" в атомной отрасли",https://www.interfax.ru/business/1049657,"Sat, 27 Sep 2025 18:53:00 +0300",53,1,политика,0.34785157
Interfax,"""Локомотив"" выиграл у ""Рубина"" и вышел на первое место в РПЛ",https://www.sport-interfax.ru/1049656,"Sat, 27 Sep 2025 18:24:00 +0300",54,1,политика,0.34684074
Interfax,Президент Ирана отверг требования США выдать обогащенный уран в обмен на трехмесячную отсрочку санкций,https://www.interfax.ru/world/1049655,"Sat, 27 Sep 2025 17:49:00 +0300",55,0,политика,0.3482172
Interfax,"""Ак Барс"" прервал пятиматчевую серию побед ""Металлурга"" в КХЛ",https://www.sport-interfax.ru/1049654,"Sat, 27 Sep 2025 17:47:00 +0300",56,4,политика,0.34713534
Interfax,Роспотребнадзор отправил Турции запрос в связи с массовым отравлением в отеле,https://www.interfax.ru/russia/1049653,"Sat, 27 Sep 2025 16:27:00 +0300",57,2,политика,0.34617552
Interfax,Сход селя в горах Дагестана оставил без транспортного сообщения 19 сел,https://www.interfax.ru/russia/1049652,"Sat, 27 Sep 2025 16:02:00 +0300",58,0,политика,0.34265062
TASS,Лавров: РФ и страны Сахеля планируют сотрудничать в энергетике и гуманитарной сфере,https://tass.ru/politika/25184433,"Sat, 27 Sep 2025 21:42:21 +0300",59,3,политика,0.34675682
TASS,Лавров: Франция симпатизирует террористам в Мали за сближение Бамако с Москвой,https://tass.ru/politika/25184413,"Sat, 27 Sep 2025 21:41:27 +0300",60,1,политика,0.34635344
TASS,Telegraph: британского политика задержали в Лондоне по возвращении из Москвы,https://tass.ru/mezhdunarodnaya-panorama/25184369,"Sat, 27 Sep 2025 21:40:15 +0300",61,2,политика,0.35311848
TASS,Адвоката Никитина задержали по обвинению в покушении на незаконный сбыт наркотиков,https://tass.ru/proisshestviya/25184349,"Sat, 27 Sep 2025 21:37:51 +0300",62,0,политика,0.3494404
TASS,Лавров указал на нелогичную смену позиции Украины по переговорам с Россией,https://tass.ru/politika/25184357,"Sat, 27 Sep 2025 21:37:04 +0300",63,1,политика,0.34986475
TASS,При ударе ВСУ по Селидову в ДНР погиб мирный житель,https://tass.ru/proisshestviya/25184309,"Sat, 27 Sep 2025 21:31:16 +0300",64,4,политика,0.3461984
TASS,В Туве легковой автомобиль врезался в трактор,https://tass.ru/proisshestviya/25184235,"Sat, 27 Sep 2025 21:28:51 +0300",65,1,политика,0.34578288
TASS,"Покер Глушенкова помог ""Зениту"" разгромить ""Оренбург"" в матче РПЛ",https://tass.ru/sport/25184287,"Sat, 27 Sep 2025 21:28:25 +0300",66,4,спорт,0.3438481
TASS,Лавров указал на расхождение сведений в газетах США о переговорах Трампа и Зеленского,https://tass.ru/politika/25184223,"Sat, 27 Sep 2025 21:28:05 +0300",67,0,политика,0.34957746
TASS,"МО РФ предложило изменить список болезней, запрещающих заключать контракт",https://tass.ru/armiya-i-opk/25184197,"Sat, 27 Sep 2025 21:25:47 +0300",68,3,политика,0.3493947
TASS,МИД РФ: европейские попытки возобновить санкции ООН против Ирана провалились,https://tass.ru/politika/25184139,"Sat, 27 Sep 2025 21:24:01 +0300",69,3,политика,0.3492642
TASS,Балицкий: на Запорожье из-за атаки ВСУ произошло отключение электричества,https://tass.ru/proisshestviya/25184081,"Sat, 27 Sep 2025 21:19:26 +0300",70,2,политика,0.3468447
TASS,МИД РФ: сторонники давления на Иран хотят избавиться от вины за атаки,https://tass.ru/politika/25184073,"Sat, 27 Sep 2025 21:17:56 +0300",71,3,политика,0.3476621
TASS,Virtus.pro не примет участия в турнире в Швеции из-за проблем со страховкой,https://tass.ru/sport/25184041,"Sat, 27 Sep 2025 21:13:30 +0300",72,1,политика,0.34296867
TASS,Лавров дал определение дипломатии,https://tass.ru/politika/25183985,"Sat, 27 Sep 2025 21:09:46 +0300",73,0,политика,0.34985524
TASS,"Лавров: Россия не хочет, чтобы курдская проблема взорвалась",https://tass.ru/politika/25183933,"Sat, 27 Sep 2025 21:07:35 +0300",74,1,политика,0.34579268
TASS,Лавров: украинские специалисты обучают группировки в Мали,https://tass.ru/politika/25183965,"Sat, 27 Sep 2025 21:07:18 +0300",75,1,политика,0.3493625
TASS,Посольство РФ в Кении опровергло информацию об аресте россиянина в Найроби,https://tass.ru/mezhdunarodnaya-panorama/25183885,"Sat, 27 Sep 2025 21:07:15 +0300",76,3,политика,0.34748322
TASS,НАТО усилит наблюдение в Балтийском море после инцидентов с БПЛА в Дании,https://tass.ru/mezhdunarodnaya-panorama/25183905,"Sat, 27 Sep 2025 21:03:01 +0300",77,2,политика,0.355368
TASS,Офис Бербок объяснил отключение ее микрофона на словах о России,https://tass.ru/mezhdunarodnaya-panorama/25183847,"Sat, 27 Sep 2025 21:00:50 +0300",78,3,политика,0.35185623
Lenta.ru,Лавров отказал журналисту в ответ на просьбу перейти на английский,https://lenta.ru/news/2025/09/27/lavrov-otkazal-zhurnalistu-v-otvet-na-prosbu-pereyti-na-angliyskiy/,"Sat, 27 Sep 2025 21:42:55 +0300",79,0,политика,0.35216895
Lenta.ru,Лавров указал на помощь Киеву во всех «пакостях» от Лондона,https://lenta.ru/news/2025/09/27/lavrov-ukazal-na-pomosch-kievu-vo-vseh-pakostyah-ot-londona/,"Sat, 27 Sep 2025 21:40:01 +0300",80,1,политика,0.34437674
Lenta.ru,«Зенит» разгромил аутсайдера РПЛ,https://lenta.ru/news/2025/09/27/zenit-razgromil-autsaydera-rpl/,"Sat, 27 Sep 2025 21:37:46 +0300",81,2,политика,0.3484385
Lenta.ru,Орбан потребовал от Зеленского прекратить донимать Венгрию,https://lenta.ru/news/2025/09/27/orban-potreboval-ot-zelenskogo-prekratit-donimat-vengriyu/,"Sat, 27 Sep 2025 21:37:00 +0300",82,4,политика,0.34501556
Lenta.ru,Лавров вспомнил легенду о Сталине и перемещении штаб-квартиры ООН,https://lenta.ru/news/2025/09/27/lavrov-vspomnil-legendu-o-staline-i-peremeschenii-shtab-kvartiry-oon/,"Sat, 27 Sep 2025 21:32:00 +0300",83,0,политика,0.3505333
Lenta.ru,На Украине признали проблемы со снабжением ВСУ в Покровске,https://lenta.ru/news/2025/09/27/na-ukraine-priznali-problemy-so-snabzheniem-vsu-v-pokrovske/,"Sat, 27 Sep 2025 21:28:23 +0300",84,4,политика,0.3442039
Lenta.ru,Норвегия и Нидерланды сообщили о неизвестных дронах,https://lenta.ru/news/2025/09/27/norvegiya-i-niderlandy-soobschili-o-neizvestnyh-dronah/,"Sat, 27 Sep 2025 21:28:00 +0300",85,0,политика,0.34365085
Lenta.ru,Лавров рассказал о зависимости европейских лидеров от Трампа,https://lenta.ru/news/2025/09/27/lavrov-rasskazal-o-zavisimosti-evropeyskih-liderov-ot-trampa/,"Sat, 27 Sep 2025 21:26:00 +0300",86,1,политика,0.35013118
Lenta.ru,Лавров рассказал об ответе ООН на просьбу раскрыть имена якобы жертв в Буче,https://lenta.ru/news/2025/09/27/lavrov-raskryl-otvet-oon-na-prosbu-raskryt-imena-yakoby-zhertv-intsidenta-v-buche/,"Sat, 27 Sep 2025 21:21:00 +0300",87,1,политика,0.34935892
Lenta.ru,Лавров назвал проявлениями публичной дипломатии слова Трампа о России,https://lenta.ru/news/2025/09/27/lavrov-nazval-proyavleniyami-publichnoy-diplomatii-slova-trampa-o-rossii/,"Sat, 27 Sep 2025 21:13:00 +0300",88,0,политика,0.35102922
Lenta.ru,«Краснодар» сыграл вничью с «Ростовом» в матче РПЛ,https://lenta.ru/news/2025/09/27/krasnodar-sygral-vnichyu-s-rostovom-v-matche-rpl/,"Sat, 27 Sep 2025 21:01:56 +0300",89,2,политика,0.3482336
Lenta.ru,Анонсировано последнее интервью Тиграна Кеосаяна,https://lenta.ru/news/2025/09/27/anonsirovano-poslednee-intervyu-tigrana-keosayana/,"Sat, 27 Sep 2025 21:00:00 +0300",90,2,политика,0.34802932
Lenta.ru,ВСУ ударили ракетами по российскому региону,https://lenta.ru/news/2025/09/27/vsu-udarili-raketami-po-rossiyskomu-regionu/,"Sat, 27 Sep 2025 20:54:00 +0300",91,2,политика,0.35446602
Lenta.ru,Эрдоган заявил о выступавшем перед пустыми креслами Нетаньяху,https://lenta.ru/news/2025/09/27/erdogan-zayavil-o-vystupavshem-pered-pustymi-kreslami-netanyahu/,"Sat, 27 Sep 2025 20:49:00 +0300",92,2,политика,0.3448836
Lenta.ru,Лавров высказался об обсуждении новых ударов по Ирану,https://lenta.ru/news/2025/09/27/lavrov-vyskazalsya-ob-obsuzhdenii-novyh-udarov-po-iranu/,"Sat, 27 Sep 2025 20:48:00 +0300",93,0,политика,0.35216913
Lenta.ru,Лавров заявил о тревоге России из-за заявлений о третьей мировой войне,https://lenta.ru/news/2025/09/27/lavrov-zayavil-o-trevoge-rossii-iz-za-zayavleniy-o-tretiey-mirovoy-voyne/,"Sat, 27 Sep 2025 20:47:00 +0300",94,0,политика,0.35039693
Lenta.ru,Лавров предупредил о последствиях ударов извне по объектам в воздушном пространстве России,https://lenta.ru/news/2025/09/27/lavrov-predupredil-o-posledstviyah-udarov-izvne-po-ob-ektam-v-vozdushnom-prostranstve-rossii/,"Sat, 27 Sep 2025 20:46:00 +0300",95,0,политика,0.34711322
Lenta.ru,Захарова рассказала о конфузе на Генассамблее ООН,https://lenta.ru/news/2025/09/27/zaharova-rasskazala-o-konfuze-na-genassamblee-oon/,"Sat, 27 Sep 2025 20:42:00 +0300",96,3,политика,0.3460286
Lenta.ru,По лагерю британского спецназа на Украине нанесли удар,https://lenta.ru/news/2025/09/27/po-lageryu-britanskogo-spetsnaza-na-ukraine-nanesen-udar/,"Sat, 27 Sep 2025 20:37:00 +0300",97,2,политика,0.35055915
Lenta.ru,Лавров ответил на вопрос о возвращении Украины к границам 2022 года,https://lenta.ru/news/2025/09/27/lavrov-otvetil-na-vopros-o-vozvraschenii-ukrainy-k-granitsam-2022-goda/,"Sat, 27 Sep 2025 20:33:00 +0300",98,0,политика,0.345037
